Name,Index,RGB
Aqua,14,#00ffff
Black,0,#000000
Blue,12,#0000ff
BlueViolet,57,#5f00ff
CadetBlue,72,#5faf87
CadetBlueA,73,#5fafaf
CornflowerBlue,69,#5f87ff
DarkBlue,18,#000087
DarkCyan,36,#00af87
DarkGoldenrod,136,#af8700
DarkGreen,22,#005f00
DarkKhaki,143,#afaf5f
DarkMagenta,90,#870087
DarkMagentaA,91,#8700af
DarkOrange,208,#ff8700
DarkRed,52,#5f0000
DarkRedA,88,#870000
DarkSeaGreen,108,#87af87
DarkTurquoise,44,#00d7d7
DarkViolet,92,#8700d7
DarkVioletA,128,#af00d7
Fuchsia,13,#ff00ff
Green,2,#008000
GreenYellow,154,#afff00
Grey,8,#808080
HotPink,205,#ff5faf
HotPinkA,206,#ff5fd7
IndianRed,131,#af5f5f
IndianRedA,167,#d75f5f
LightCoral,210,#ff8787
LightGreen,119,#87ff5f
LightGreenA,120,#87ff87
LightSeaGreen,37,#00afaf
LightSlateBlue,105,#8787ff
LightSlateGrey,103,#8787af
LightSteelBlue,147,#afafff
Lime,10,#00ff00
Maroon,1,#800000
MediumOrchid,134,#af5fd7
MediumPurple,104,#8787d7
MediumSpringGreen,49,#00ffaf
MediumTurquoise,80,#5fd7d7
MediumVioletRed,126,#af0087
Navy,4,#000080
NavyBlue,17,#00005f
Olive,3,#808000
Orchid,170,#d75fd7
Purple,5,#800080
PurpleA,93,#8700ff
PurpleB,129,#af00ff
Red,9,#ff0000
RosyBrown,138,#af8787
SandyBrown,215,#ffaf5f
Silver,7,#c0c0c0
SteelBlue,67,#5f87af
Tan,180,#d7af87
Teal,6,#008080
Violet,177,#d787ff
White,15,#ffffff
Yellow,11,#ffff00
Aquamarine1,86,#5fffd7
Aquamarine1A,122,#87ffd7
Aquamarine3,79,#5fd7af
Blue1,21,#0000ff
Blue3,19,#0000af
Blue3,20,#0000d7
Chartreuse1,118,#87ff00
Chartreuse2,82,#5fff00
Chartreuse2A,112,#87d700
Chartreuse3,70,#5faf00
Chartreuse3A,76,#5fd700
Chartreuse4,64,#5f8700
Cornsilk1,230,#ffffd7
Cyan1,51,#00ffff
Cyan2,50,#00ffd7
Cyan3,43,#00d7af
DarkOliveGreen1,191,#d7ff5f
DarkOliveGreen1A,192,#d7ff87
DarkOliveGreen2,155,#afff5f
DarkOliveGreen3,107,#87af5f
DarkOliveGreen3A,113,#87d75f
DarkOliveGreen3B,149,#afd75f
DarkOrange3,130,#af5f00
DarkOrange3A,166,#d75f00
DarkSeaGreen1,158,#afffd7
DarkSeaGreen1A,193,#d7ffaf
DarkSeaGreen2,151,#afd7af
DarkSeaGreen2A,157,#afffaf
DarkSeaGreen3,115,#87d7af
DarkSeaGreen3A,150,#afd787
DarkSeaGreen4,65,#5f875f
DarkSeaGreen4A,71,#5faf5f
DarkSlateGray1,123,#87ffff
DarkSlateGray2,87,#5fffff
DarkSlateGray3,116,#87d7d7
DeepPink1,198,#ff0087
DeepPink1A,199,#ff00af
DeepPink2,197,#ff005f
DeepPink3,161,#d7005f
DeepPink3A,162,#d70087
DeepPink4,53,#5f005f
DeepPink4A,89,#87005f
DeepPink4B,125,#af005f
DeepSkyBlue1,39,#00afff
DeepSkyBlue2,38,#00afd7
DeepSkyBlue3,31,#0087af
DeepSkyBlue3A,32,#0087d7
DeepSkyBlue4,23,#005f5f
DeepSkyBlue4,24,#005f87
DeepSkyBlue4A,25,#005faf
DodgerBlue1,33,#0087ff
DodgerBlue2,27,#005fff
DodgerBlue3,26,#005fd7
Gold1,220,#ffd700
Gold3,142,#afaf00
Gold3A,178,#d7af00
Green1,46,#00ff00
Green3,34,#00af00
Green3A,40,#00d700
Green4,28,#008700
Grey0,16,#000000
Grey100,231,#ffffff
Grey11,234,#1c1c1c
Grey15,235,#262626
Grey19,236,#303030
Grey23,237,#3a3a3a
Grey27,238,#444444
Grey3,232,#080808
Grey30,239,#4e4e4e
Grey35,240,#585858
Grey37,59,#5f5f5f
Grey39,241,#626262
Grey42,242,#6c6c6c
Grey46,243,#767676
Grey50,244,#808080
Grey53,102,#878787
Grey54,245,#8a8a8a
Grey58,246,#949494
Grey62,247,#9e9e9e
Grey63,139,#af87af
Grey66,248,#a8a8a8
Grey69,145,#afafaf
Grey7,233,#121212
Grey70,249,#b2b2b2
Grey74,250,#bcbcbc
Grey78,251,#c6c6c6
Grey82,252,#d0d0d0
Grey84,188,#d7d7d7
Grey85,253,#dadada
Grey89,254,#e4e4e4
Grey93,255,#eeeeee
Honeydew2,194,#d7ffd7
HotPink2,169,#d75faf
